gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
HMOX1	3.956179133144678	7.597443804192391	80.84321212966051	4.558892064069284e-12	4.035987642926776e-08	18.020156507124565
COL1A1	2.5252404890679188	9.358198364101522	71.55334173183999	1.1123939261691132e-11	4.035987642926776e-08	17.43792894521671
SGK1	2.2385487301786418	6.730348042277201	57.59165693332772	5.430288873837604e-11	1.186624423659805e-07	16.013106502277985
FJX1	2.615962860994705	5.159897303037955	53.121448207974986	9.794560921848775e-11	1.269165212023276e-07	15.295346284265124
HOXA13	2.856315734425948	4.689038989473714	50.58175849053932	1.4004208464159507e-10	1.3517401656019442e-07	14.904940342721236
HSPA8	1.7232093331474303	10.693375476292378	49.63524180528783	1.60738604557083e-10	1.4579795126350213e-07	15.13536791080655
PHLDB1	2.2429354424282435	6.101495900084646	44.30287999474388	3.6825113070706645e-10	2.528942514101663e-07	14.274678507576136
H2AC7	3.6674646347948063	2.6530122391923743	43.133662659348005	4.4754057274845047e-10	2.799597769044704e-07	13.42178139534636
H3C4	3.6752305666950447	3.58040998132288	42.8397189413562	4.70415763623781e-10	2.844604122633005e-07	13.66867207033502
AMIGO2	2.5705825875134183	5.865243528391535	42.1378277606976	5.306153139763776e-10	3.083415108086606e-07	13.922523189371956
UBTF	1.7551543848789848	6.502217058853333	41.67462032716352	5.751341944083415e-10	3.089755152416953e-07	13.875373147565314
GCLM	1.733020212581864	6.890399848153734	40.85741363050873	6.644319880404932e-10	3.089755152416953e-07	13.74554946400488
KLF6	1.772880184205107	6.84660015283981	40.579553349367565	6.98307487178739e-10	3.089755152416953e-07	13.696659422484728
H2BC8	3.457909354410583	3.996413753850572	40.18438385432674	7.49919318241769e-10	3.163787523773008e-07	13.387756636935125
NOP56	1.8415592265204204	7.117566419042096	40.03110748295223	7.710944507890067e-10	3.179187370855312e-07	13.60366174838617
POSTN	4.020617503970841	3.717222866171764	38.58881431833745	1.0074021302933603e-09	3.888357882053585e-07	13.085945244541566
H2BC21	2.157410364453316	5.866676315378502	38.12376277834131	1.1004121329605627e-09	3.9925153008075133e-07	13.234132508689012
BCOR	1.916057373794568	4.881898492380341	37.80330146754503	1.1701846879145772e-09	4.1624157693055577e-07	13.119526780879752
DNMBP	1.7217040260313832	6.376102205807909	37.50563302690956	1.239527479913752e-09	4.319746543268215e-07	13.130362307190133
CDK17	1.538257391182715	6.6113319746178325	36.49891083084472	1.5111021143443902e-09	4.799467195165427e-07	12.93698002530594
WNT5A	1.7807331197653171	7.161139400936168	36.39968816585801	1.5413475705650047e-09	4.799467195165427e-07	12.91751456681859
ZNF804A	2.6200706479290643	4.4739290260262985	36.00470602874615	1.6687603387787383e-09	4.962783820620507e-07	12.755873812269249
NEAT1	1.2949656751123202	8.521991432822167	35.915222642304215	1.699262616841988e-09	4.971987601956533e-07	12.814580119733858
NQO1	1.2770859071736655	9.303995316713724	34.69670777604227	2.1845153839257917e-09	5.794025038656991e-07	12.555059745162364
TLR4	2.2270267997876543	3.808931232466756	34.579992349266526	2.238736394407453e-09	5.801845275849372e-07	12.412690899346352
DGCR8	1.9169589864226209	4.685864959066947	34.168617539134466	2.442406095757575e-09	6.153845692102524e-07	12.419530495983626
HSPA1A	1.3784300695390312	7.417963859940304	33.60307397246902	2.757693760374265e-09	6.652606739983248e-07	12.326267458843976
H2AC19	1.6621642714103029	7.1858744938536825	33.155782398365254	3.04000349914923e-09	6.893587934758274e-07	12.229028917304635
H2AC18	1.6454112441836113	7.175686442635204	32.91682664917542	3.2041937488935043e-09	6.953107868747637e-07	12.175282721528198
COL1A2	1.1201898277632765	11.2594959672773	32.73623436409883	3.334976335507578e-09	7.117624200287409e-07	12.110370158881892
