gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
Creld2	1.9985662203405639	5.789778590420657	32.804822566770966	3.262881920454e-10	2.3750560518195788e-06	14.163903772199678
Sdf2l1	2.698952663823606	4.7481369833276075	31.33465413452099	4.794530932131606e-10	2.3750560518195788e-06	13.635480026565494
Hyou1	1.6917631176541503	7.88965007285209	30.969063970524637	5.290655448516245e-10	2.3750560518195788e-06	13.839032334247452
Hspa5	2.0674318939865266	9.498215160959269	30.30659746460351	6.342785557002481e-10	2.3750560518195788e-06	13.672452106923881
Arrdc4	2.418842390761113	5.306238110171583	29.474043352333904	8.011458403494648e-10	2.399912479350857e-06	13.296691310090097
Slc7a5	2.377875096197849	7.915038367179258	28.3004570598933	1.1261032945403115e-09	2.8111291909374646e-06	13.099183139703225
Trib3	5.779262048767513	3.19432060712149	27.753846220025903	1.3259129190635786e-09	2.8370748145334688e-06	12.298199386729515
Sesn2	2.8225679651217925	5.99345325742605	26.74227134209001	1.809179515236309e-09	2.874957439745896e-06	12.601658749005269
Trim66	4.330414370548773	3.7276117265014115	26.578289917220424	1.9047162735739175e-09	2.874957439745896e-06	12.21309133851009
Pck2	3.3480313933458	5.1398956314159845	26.553814229596675	1.919453491618304e-09	2.874957439745896e-06	12.482588749657097
Asns	2.307830432550581	7.754334292864949	26.054131352524667	2.249999372910294e-09	3.0636809643136715e-06	12.408442623143442
Adm2	7.181376954519024	-2.820350608636459	24.29424293176952	4.036093930444383e-09	4.644643752918989e-06	6.335560869676521
Gpt2	2.0340827845796294	7.12728388662647	24.160685231044926	4.226165713086731e-09	4.644643752918989e-06	11.777183294151044
Slc7a1	2.218050438952262	6.816928715735433	23.944271332031295	4.555749104478963e-09	4.644643752918989e-06	11.704213088536378
Ddit3	2.909676651423674	5.204122567584252	23.584259966691956	5.1695673210091116e-09	4.644643752918989e-06	11.55615149236031
Pdia6	1.461814430668495	8.26090365504025	23.554653145673825	5.224020324120304e-09	4.644643752918989e-06	11.546062295337768
Herpud1	2.362464907503412	7.037819860585692	23.366241034515834	5.585929258885328e-09	4.644643752918989e-06	11.495605655188736
Slc7a11	3.910040723348867	5.540665916331189	23.327686220387687	5.663388463411487e-09	4.644643752918989e-06	11.481257650843421
Pdia4	1.627888183010393	7.912563200580064	23.217309187633028	5.8918568103525705e-09	4.644643752918989e-06	11.42789312632786
