gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000096688	8.646993542018123	4.68276498401225	26.712888262200124	3.269798768637929e-26	1.9648220800745316e-22	47.79249706650135
ENSMUSG00000096674	9.421182797291001	5.141963523126871	23.009096919554324	6.832618650743335e-24	2.052860273615835e-20	43.230516381030796
ENSMUSG00000068877	7.246144844459647	6.591602044229083	17.103810008915076	1.9906682111840818e-19	3.9873084270017155e-16	33.76126268378474
ENSMUSG00000054263	1.38229460693133	6.2516869589930515	13.438316622693172	5.267352006119044e-16	7.912879551192335e-13	26.28306567414448
ENSMUSG00000031767	2.229833233333884	8.040406182144824	13.069728265472914	1.26047869677857e-15	1.5148432977884855e-12	25.379416540500763
ENSMUSG00000015451	3.418142429055465	4.974267543826769	12.009890788904809	1.6964442560133134e-14	1.6989889223973334e-11	22.924977471252824
ENSMUSG00000078675	4.238407348378066	3.930498078339322	11.479950213762555	6.557398101966603e-14	4.9254256493396646e-11	21.577145100193405
ENSMUSG00000092075	5.704764861113716	4.6191777912174175	11.271121649614019	1.1281817486916599e-13	6.779244127888184e-11	21.074833588166953
ENSMUSG00000073834	6.864989936773123	5.286925571846569	10.892527098848005	3.060607677308498e-13	1.5325992944122305e-10	20.10713525720727
ENSMUSG00000060181	0.9615527095665337	3.835024189266381	10.744667343498625	4.5422432440978975e-13	1.949595689556019e-10	19.697014686615947
ENSMUSG00000073830	7.008587112036299	5.997914615319057	10.465172683980255	9.655017838251898e-13	3.412764834709157e-10	18.98222828044376
ENSMUSG00000034785	2.3775612147118466	7.326726481869472	9.80016050064445	6.0492875232668096e-12	1.9131667751215924e-09	17.183147878660947
ENSMUSG00000025270	1.7442417159438035	6.499765547154962	9.381496467457062	1.9778271115663517e-11	5.6594110063820036e-09	16.02232924653531
ENSMUSG00000028538	0.6601262025067642	5.643660912050452	9.216142442185177	3.1773566429404256e-11	8.678516394285917e-09	15.554300259655463
ENSMUSG00000039519	2.059986357861562	6.854474957889355	9.04923014090884	5.145185386915626e-11	1.2882257912489999e-08	15.08556152246951
ENSMUSG00000022149	1.6682182001667343	8.816686623189549	8.97728168843051	6.340181626532356e-11	1.4653135151474201e-08	14.88540618103652
ENSMUSG00000090306	1.6108054250699864	4.89549535306742	8.949740842796928	6.869013009199259e-11	1.5287370063806792e-08	14.797955253679456
ENSMUSG00000022181	2.079930707468775	6.6343329765544405	8.891204421501616	8.146647630655382e-11	1.7251622614596413e-08	14.633198265362427
ENSMUSG00000078672	3.2483095003355906	10.832256527437833	8.859429415477864	8.938618982085333e-11	1.7251622614596413e-08	14.537979211127459
ENSMUSG00000021594	1.2752410915583017	5.84010607543953	8.851255852505853	9.154684653804665e-11	1.7251622614596413e-08	14.5142989565827
ENSMUSG00000049404	2.008316392936562	5.23678409467906	8.850047083383116	9.187084767300469e-11	1.7251622614596413e-08	14.509950921435063
ENSMUSG00000024694	1.5429329366821385	6.918691684974765	8.835194263853884	9.594829842441588e-11	1.747131288582773e-08	14.474293340741216
ENSMUSG00000068083	1.4071833846783361	5.450114141909142	8.787941526047002	1.1018303761101746e-10	1.8916853514417253e-08	14.330745676298452
ENSMUSG00000073842	7.370895139694541	8.31138834128377	8.766738375916333	1.1724947279216235e-10	1.9570891166891764e-08	14.284646525389043
ENSMUSG00000063590	2.7831218110734315	2.6905434202702194	8.69605094766302	1.4430513640863252e-10	2.281919907051244e-08	14.073738299879844
ENSMUSG00000022215	1.695343362533917	4.993778112778956	8.618330562997293	1.81436708620771e-10	2.795520979749264e-08	13.841817159705375
ENSMUSG00000020122	1.9092110793950159	6.826914625760736	8.466234515006496	2.8459894276169955e-10	4.2753876176376314e-08	13.40581508613525
ENSMUSG00000072849	5.45429156700334	9.736882960428614	8.403171320748614	3.4327440479110564e-10	4.911275948547033e-08	13.239247048917314
ENSMUSG00000030035	0.6718416326084551	5.261643523529676	8.382884228340071	3.6464687765852914e-10	4.9799161087502305e-08	13.152901684984363
ENSMUSG00000095532	1.5364813362360463	4.002808668538771	8.33048708557437	4.2630137006039103e-10	5.692544294873088e-08	13.017729473862715
ENSMUSG00000027983	2.0643447518512095	3.1031769416489716	8.29783680775263	4.699606351674833e-10	6.114851120410825e-08	12.93368529978757
ENSMUSG00000061825	1.7932141085976374	5.5484765661593745	8.291965603093868	4.782792522205171e-10	6.114851120410825e-08	12.885612217600213
ENSMUSG00000078683	4.991044537430356	4.418090843636148	8.259906653903002	5.264047376309612e-10	6.589929309217596e-08	12.8023739121937
ENSMUSG00000004798	0.7607104742948207	4.99243848499545	8.137604257652958	7.596722516327446e-10	9.31606236747176e-08	12.432322219605243
ENSMUSG00000032434	0.6220519862573424	6.175243634628686	7.989463889034315	1.1872578807909308e-09	1.3211541862356858e-07	11.99384114498217
ENSMUSG00000043671	1.8213419292789799	3.8400556359601334	7.891599603606778	1.5966561570661105e-09	1.7132690799661176e-07	11.727309883078854
ENSMUSG00000021376	0.8361495178781171	6.105728551934342	7.845755445644756	1.834992983745551e-09	1.8996659968540977e-07	11.564583508873294
ENSMUSG00000066153	2.703202635345292	6.9568766327873615	7.840378799235077	1.8652070862771137e-09	1.8996659968540977e-07	11.559362087490015
ENSMUSG00000036083	0.9789470557024202	4.781170083054171	7.684972828484542	2.9942119957795743e-09	2.959807458267428e-07	11.085228928389544
ENSMUSG00000038375	1.0248628967911975	7.484801149094584	7.516946846366745	5.008287047459549e-09	4.776951883838798e-07	10.59543096832722
ENSMUSG00000024424	1.1896868834077239	7.699889112442988	7.46806302303539	5.81971874733135e-09	5.464170305111575e-07	10.451497309543349
ENSMUSG00000028398	0.6610840286612643	5.368609682362258	7.404095664994648	7.085647764745599e-09	6.550408833593277e-07	10.229871418789074
ENSMUSG00000008153	1.672477188494649	3.7680509024975346	7.21747465973645	1.2607920376852559e-08	1.0979854136885076e-06	9.704799082901605
ENSMUSG00000036833	0.4998494451298221	6.8491424852145935	7.207094884266849	1.301968207193676e-08	1.1054638956529924e-06	9.647332231723759
ENSMUSG00000023031	1.3628789056571549	5.293188955592742	7.206053615209281	1.306173016997212e-08	1.1054638956529924e-06	9.627668350692675
ENSMUSG00000054422	1.1174606963036755	11.941463824694774	7.15159518599883	1.5462897121610857e-08	1.2728294356679404e-06	9.54951681819637
ENSMUSG00000041567	2.4469079908159848	3.61076248354872	7.138846267391412	1.6086559943483446e-08	1.3062721445998923e-06	9.472617980271398
ENSMUSG00000052562	0.8396696745890209	6.58886759815193	7.09193504734262	1.8607938384157738e-08	1.453206989118319e-06	9.291509902186249
ENSMUSG00000028603	0.5798897314196694	12.099916254324839	7.091699468789341	1.862155735764862e-08	1.453206989118319e-06	9.370527425549476
ENSMUSG00000094793	3.203067412709787	2.8295335351215622	7.039479341883397	2.1902497306365755e-08	1.6659760292905293e-06	9.200925455439364
ENSMUSG00000067144	2.0340023115397723	4.143131772314774	6.999008701732931	2.4841304833750718e-08	1.8658925093251008e-06	9.023680687470131
ENSMUSG00000022391	0.7577226139041677	5.0012495699581905	6.9709491037473095	2.7109194289529186e-08	2.0111005985898877e-06	8.912033097414119
ENSMUSG00000026958	0.5718218033733522	4.022020333405887	6.961651537607469	2.790577968271793e-08	2.044949147725025e-06	8.914820442254685
ENSMUSG00000036452	0.7469592011342088	3.975933552137855	6.941878424122928	2.9679159420513843e-08	2.148699625998406e-06	8.856466851951648
ENSMUSG00000024516	0.6094392349471205	5.352984327631252	6.702557552756139	6.268946789599988e-08	4.280693324852992e-06	8.08292213086982
ENSMUSG00000067071	1.093943387734666	6.2680498634408846	6.660244768512271	7.157604334836428e-08	4.764018714204451e-06	7.960037454368285
ENSMUSG00000078673	3.2825424351816905	3.5381235271995077	6.6312182738972	7.83948580763973e-08	5.06531937829109e-06	7.926458958125432
ENSMUSG00000015478	0.48865438075638057	5.782493505322107	6.611344665810351	8.343667955947187e-08	5.333734122051772e-06	7.804075085386918
ENSMUSG00000040722	0.7536558428899838	3.9483161619726057	6.590803866723515	8.899070098425581e-08	5.628896023309402e-06	7.781020883081883
ENSMUSG00000040017	1.3288992417433656	7.572766809388872	6.549554483813209	1.0129231591373908e-07	6.274902333254207e-06	7.644975412863619
ENSMUSG00000060803	1.2204761891497107	10.80518733560764	6.483261852340657	1.2474474519299926e-07	7.648889529231964e-06	7.512564714832942
ENSMUSG00000086054	0.9930694572023286	3.7820833661347337	6.4728235576628705	1.2890554876401798e-07	7.824176187100848e-06	7.426819586296124
ENSMUSG00000020253	0.6643272059458276	4.461965185947132	6.459658815493717	1.3435251793587207e-07	8.073242802766554e-06	7.353288987374503
ENSMUSG00000032026	0.4230225584662044	7.025950154254015	6.446711274933104	1.3993508806006646e-07	8.32544499161326e-06	7.317018571425107
ENSMUSG00000027261	0.9429699491198473	7.952696063780675	6.433965703108667	1.4565810299083764e-07	8.580975890901407e-06	7.2984078152345795
ENSMUSG00000029772	0.9288604116230421	3.7416940197500743	6.421649514329776	1.514115494003705e-07	8.785811729497497e-06	7.271506058467048
ENSMUSG00000016756	1.1092036301889463	5.614464104136315	6.418153964099814	1.5308567086606498e-07	8.785811729497497e-06	7.20531518048216
ENSMUSG00000066154	2.0229290526509214	12.77970995938278	6.414479918738472	1.5486531762693063e-07	8.785811729497497e-06	7.330199870358224
ENSMUSG00000037553	0.45076986023394916	4.563524542938199	6.411252736637186	1.5644564071496623e-07	8.785811729497497e-06	7.199987028849852
ENSMUSG00000079494	2.5398370645858415	3.6939985796733237	6.340650206195856	1.9537611007852233e-07	1.0770780233594869e-05	7.024744611602262
ENSMUSG00000058207	0.9861569646054082	12.148528435115669	6.307353517722597	2.169764763783736e-07	1.1538156164226963e-05	6.996846213663126
ENSMUSG00000038092	4.74032214323719	5.055622108071826	6.3025499152532385	2.202845697134528e-07	1.1611315608843314e-05	6.850040048737535
ENSMUSG00000027546	0.4784193898869704	4.93937178033187	6.1648571674492825	3.3999932380151086e-07	1.6746360137076057e-05	6.426097917645121
ENSMUSG00000031605	0.4532289303811856	4.485486932962537	6.147355287501326	3.5929621228522566e-07	1.7552934468470903e-05	6.386782408929918
ENSMUSG00000029771	1.0666327113689578	3.5966545228123326	6.1391915406858	3.6866897565973217e-07	1.7855564735638093e-05	6.409683927207219
ENSMUSG00000023057	0.9911226608176911	6.309064947940816	6.136823073261628	3.714337813204795e-07	1.7855564735638093e-05	6.342602833193932
ENSMUSG00000027531	0.36237646922457145	5.399818525099541	6.120887056098484	3.9058460258836805e-07	1.8627165690107173e-05	6.283680374669498
ENSMUSG00000036879	0.3828543286745969	4.405703058898375	6.046583001635689	4.937934158439289e-07	2.2824651044662836e-05	6.078224436995607
ENSMUSG00000029656	1.0821235565366205	7.679630979228003	6.013551063602428	5.480573388493105e-07	2.4864418654239806e-05	5.992799790877047
ENSMUSG00000025860	0.37510628872901464	5.622491507151312	6.009236925710428	5.555719768085688e-07	2.4864418654239806e-05	5.938715317319472
ENSMUSG00000025728	0.4044738520580857	4.916927922204829	6.007694318442622	5.582839524607365e-07	2.4864418654239806e-05	5.9397354672743665
ENSMUSG00000006476	0.6515039571131398	6.14902491761474	6.007508511698157	5.586115024666956e-07	2.4864418654239806e-05	5.939058378360157
ENSMUSG00000068220	0.869087226750854	4.740225102363949	6.001862487521956	5.686568915024028e-07	2.5125435742926022e-05	5.926764615773718
ENSMUSG00000030282	0.3896716011892698	5.4529976064822145	5.982007637975873	6.054406070709018e-07	2.6224767273281224e-05	5.853212986464939
ENSMUSG00000066071	3.2393358966210664	5.342472112138185	5.9039549110005725	7.746330316422682e-07	3.232479088290548e-05	5.611514720604019
ENSMUSG00000020515	0.33135320508512756	5.412213326675114	5.892058515440707	8.042837610419914e-07	3.3007221056500474e-05	5.574434100731471
ENSMUSG00000051615	0.8015632286751684	3.5016071632384063	5.8901128273301735	8.092401053287277e-07	3.3007221056500474e-05	5.648139282915008
ENSMUSG00000040891	1.0313909459988535	4.533216837076601	5.888660853971874	8.129586813716209e-07	3.3007221056500474e-05	5.584111252616525
ENSMUSG00000038412	0.7126533837704523	5.639382154296793	5.886417287299787	8.187382024692878e-07	3.301877757475135e-05	5.558285638893533
ENSMUSG00000035836	0.9456819179042721	8.003271715223136	5.857551882099584	8.968671592358592e-07	3.569056132349853e-05	5.520572160630832
ENSMUSG00000031958	0.4569375025419875	5.971407953281369	5.839753666468127	9.487127153264015e-07	3.7505359910502274e-05	5.41739387680132
ENSMUSG00000026032	0.6009573218035023	6.057692276021809	5.836009111794165	9.599963450192136e-07	3.7703385864185976e-05	5.406658797935676
ENSMUSG00000078597	2.5471383089169484	4.092807621231203	5.823991058174854	9.971251445624298e-07	3.890730515373792e-05	5.406058879422158
ENSMUSG00000018415	0.3853250923546119	4.2307007678477	5.807333945706242	1.0509712203525874e-06	4.074378105224966e-05	5.346598753858786
ENSMUSG00000062963	0.43074953764391477	6.287089852716959	5.69191780021327	1.5129697952369085e-06	5.586073526892891e-05	4.964556750700048
ENSMUSG00000069922	1.3690095541623535	10.15216545261788	5.647111480176447	1.7427739824080773e-06	6.346865975933417e-05	4.935171115340054
ENSMUSG00000041698	3.557996646316651	5.908551718356132	5.642083158948123	1.7706463492651771e-06	6.377386934245444e-05	4.805134317824708
ENSMUSG00000035031	1.4268126965003516	7.896302144623467	5.641061471343367	1.7763637931490078e-06	6.377386934245444e-05	4.849298456256004
ENSMUSG00000060860	0.6343285127051654	3.659395384587224	5.596208349660424	2.046386341889944e-06	7.276174868885606e-05	4.732391542438934
ENSMUSG00000024818	0.6460907295234715	4.2006137964294865	5.587892568727869	2.100774091575242e-06	7.382193869167034e-05	4.670844658108365
ENSMUSG00000078688	1.5064567710420702	3.8690528572767526	5.571532004385628	2.2120216817996312e-06	7.72792923600813e-05	4.641945078852382
ENSMUSG00000039599	0.3901819082291951	4.515025986207142	5.528427401497691	2.5340619126389177e-06	8.506803370417462e-05	4.47176995823437
ENSMUSG00000029098	0.46415085867181594	3.8206089970451274	5.513766560031454	2.653924097213226e-06	8.859683277863486e-05	4.467591543003628
ENSMUSG00000026181	0.35388074252102886	3.914147078846517	5.481275274815853	2.9400829980478857e-06	9.601608008298774e-05	4.3612113848041165
ENSMUSG00000026405	0.6761493807305223	8.233201666448778	5.475121851210626	2.997644108778791e-06	9.723370689629882e-05	4.349434800411183
ENSMUSG00000022404	0.40801015045405276	6.774764127296659	5.473844770247396	3.009730318307802e-06	9.723370689629882e-05	4.304336414069738
ENSMUSG00000087141	0.6602683188318439	3.933899018118395	5.464573989995499	3.0989361461042347e-06	9.905057075500185e-05	4.308514294353489
ENSMUSG00000039648	0.7644526008742263	6.3275511234263595	5.459176884686625	3.1520766030799724e-06	9.96885700416187e-05	4.247006334713212
ENSMUSG00000110488	1.7950998373992015	3.7163204978124122	5.449429650264067	3.2503595191723683e-06	0.00010119901736117493	4.277328683043157
ENSMUSG00000057130	0.7454432485196172	4.076179718846535	5.437198714646348	3.3780153190862626e-06	0.00010397629322739897	4.214740705271339
ENSMUSG00000098330	3.0389062196777035	4.497535727679613	5.434897658777675	3.4025839924335515e-06	0.00010397629322739897	4.184441277066352
ENSMUSG00000116130	0.9259563277356193	3.8077262222585313	5.434320418800122	3.4087751316021964e-06	0.00010397629322739897	4.2244207889187
ENSMUSG00000020744	0.6211113508863879	4.12741759394711	5.42735170527187	3.484408733256694e-06	0.00010574652564716906	4.181126740756752
ENSMUSG00000060613	0.8084559462655143	9.639493614275924	5.418720251962235	3.5804094305110092e-06	0.00010811397119568168	4.220016327832176
ENSMUSG00000028434	0.3740897398802563	6.1019558098338935	5.4060260452323226	3.726402065979753e-06	0.00011195975007236169	4.078849793887622
ENSMUSG00000010054	0.29243665189166723	5.320019384755565	5.394478663246653	3.864346591607866e-06	0.00011552666004463516	4.036777110904902
ENSMUSG00000015189	0.2605803168459744	4.8348939240556374	5.370212813642533	4.171011926531602e-06	0.00012049812820446344	3.971932029572799
