gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
PTPRC	4.1028309346954694	3.62023052901425	24.795215795320512	4.8197352364459495e-09	6.055001964814875e-05	11.301795617943668
HCLS1	3.5815522170764016	4.5610477775558085	23.25395429652344	8.13079356091698e-09	6.055001964814875e-05	10.994946547185505
LCP1	2.134955899199589	7.788847177651851	20.516151413902676	2.250281186965458e-08	8.255242989994524e-05	10.092558887434945
CNNM2	2.5616359593480906	4.084929370878133	20.507576223146128	2.2579240537834542e-08	8.255242989994524e-05	10.036352488232179
NDEL1	2.4526671025471645	6.482673355735489	19.2537147646348	3.7642526279788644e-08	8.255242989994524e-05	9.608781364541503
FBXL5	2.5307831779206005	6.022650646304044	19.239126990985927	3.7874091370868444e-08	8.255242989994524e-05	9.60334189129772
CSF1R	4.002919780181079	2.6652144470828456	19.18186199576045	3.879864437354751e-08	8.255242989994524e-05	9.345774502277557
SUCO	2.3267023467015964	5.911892716796862	18.27216590249334	5.745911130813124e-08	0.00010697450047791334	9.198335819751508
SPATC1	5.199664916266421	1.578242077104619	17.423820976643324	8.431070836216468e-08	0.00013912200131409089	8.385110753930173
MSL2	2.2220021954653015	6.013857701665938	17.20354893217367	9.340808467442653e-08	0.00013912200131409089	8.720021791172671
ADIPOR1	2.3845502961523453	6.9821136226287255	16.556309722560616	1.271602336096632e-07	0.00017217495630748398	8.413332062940352
GRINA	1.7439906718150544	8.503498741513644	16.246569254896812	1.4798854341582303e-07	0.00017748605407707084	8.262713280538629
SPI1	5.103273646843659	2.9232612808294673	16.061543016603764	1.622367099804928e-07	0.00017748605407707084	8.112723454729949
AMER2	5.156738714779763	-0.852597602216966	15.985737421273113	1.6851183378200644e-07	0.00017748605407707084	6.501412792094358
PAFAH1B1	2.078816709005462	6.730435383120376	15.868596722280888	1.7874921519780199e-07	0.00017748605407707084	8.071867377616464
SAMSN1	2.600928914661486	4.06972594058057	15.507646479009312	2.149336076173797e-07	0.00020007632199082833	7.891795073543943
PITPNA	1.7138088168015138	6.332773833960705	15.325745214065979	2.3622038355212037e-07	0.0002039020161217043	7.789771525079776
CHD7	2.3857378982868385	6.197188348584746	15.167655518094705	2.566460488602973e-07	0.0002039020161217043	7.705515612200548
MAP2K4	2.061086799476259	4.732285768511953	15.027527060005326	2.764109455711722e-07	0.0002039020161217043	7.63828426882408
MARCKSL1	1.7153903460136366	9.204662085449648	14.907899836280473	2.9463568004241136e-07	0.0002039020161217043	7.571529546387616
TM6SF1	2.772523502072588	1.862560948846964	14.787907729575528	3.1427507445367895e-07	0.0002039020161217043	7.364564226147045
LOC643387	4.188722421071647	0.27081694089350755	14.716074747906172	3.2672974264492557e-07	0.0002039020161217043	6.787322414372035
FMNL1	1.7521410793208636	6.529082598116837	14.606281945819317	3.468455633785609e-07	0.0002039020161217043	7.399292255667179
CORO1A	4.655452140995827	4.260700775617355	14.60203360775724	3.476512638093955e-07	0.0002039020161217043	7.412595102958182
UCP2	4.498783343114271	3.9967330378234536	14.383845192625527	3.9198300946706514e-07	0.0002039020161217043	7.295007983797093
BTK	4.998262660534176	1.4796523396322372	14.261490767002314	4.195848810092589e-07	0.0002039020161217043	7.029973863640285
STK26	5.519932332913059	-1.057364605917578	14.253563804092554	4.214466207971708e-07	0.0002039020161217043	5.845313652167745
CYBB	3.58532179772921	1.7429868866775822	14.223586551943635	4.285710053954257e-07	0.0002039020161217043	7.067869995501093
OSBPL9	2.0487687971735147	7.4093195122958075	14.140127262786345	4.4912464772049227e-07	0.0002039020161217043	7.1381965987345914
FPR2	6.6815844334596175	-0.34933055515976735	14.076196254338097	4.656143242538917e-07	0.0002039020161217043	6.216433437111151
ALOX5AP	5.324676186515198	1.4004915413722336	14.062286901177053	4.692908333053167e-07	0.0002039020161217043	6.914659114426173
SMOX	4.012490162772604	7.107029392571283	14.046026862459508	4.736298302885871e-07	0.0002039020161217043	7.082327357302514
PIK3CG	4.16362009430943	-0.10725014500056917	14.015214136641719	4.819756456639028e-07	0.0002039020161217043	6.321998685846451
PTPN6	4.243694572490881	2.3758700476532715	14.007976705578173	4.839596807947453e-07	0.0002039020161217043	7.043144761475629
NCF1	4.614550735114241	0.37406871300535965	14.0057054662127	4.845841863329769e-07	0.0002039020161217043	6.544814714469499
PICALM	1.88955063983982	8.651290363991496	13.896563164697	5.156819454615991e-07	0.0002039020161217043	7.0005179664537645
EFHD1	4.489743360308725	1.512032140837106	13.89520673416633	5.160821971629444e-07	0.0002039020161217043	6.857824651430313
BEND4	7.141173033742792	-0.66892633970129	13.801963563068623	5.444459308968195e-07	0.0002039020161217043	5.932528114964041
C6orf62	1.495469164976254	6.449189467703992	13.801575094847987	5.445676829456435e-07	0.0002039020161217043	6.936367575917497
NCKAP1L	5.429165957041077	3.4675643964559937	13.791904317606758	5.476084762231886e-07	0.0002039020161217043	6.965032914666471
SPTLC2	1.5043309988948952	5.836100897296601	13.645002778587497	5.962093892283155e-07	0.00020760058488979738	6.842944293967587
RAB8B	2.402892534394427	4.829778011935341	13.639510927074742	5.981174668572553e-07	0.00020760058488979738	6.852278756334526
FEM1C	2.848556338854224	5.442765398289303	13.635953374076944	5.993571337626754e-07	0.00020760058488979738	6.840484603023921
UBB	2.2470398705444197	9.687232878769505	13.418349875674842	6.809294355074085e-07	0.0002255513654638381	6.71813137293253
MYO1F	3.1128231228126118	1.7702861356747894	13.417007134989694	6.814698164276027e-07	0.0002255513654638381	6.657051056970683
TRIP12	1.6753702465591385	7.5654829168475155	13.291277580740758	7.342558726277728e-07	0.0002377392818895228	6.6333945587051275
ALKBH5	1.7283049761043685	5.845131794118449	12.993055329845692	8.787005216890656e-07	0.0002784545865965307	6.441468612055463
NCF4	5.377208513578227	0.9363816871941882	12.898588418511155	9.308702289988392e-07	0.00028517894699960696	6.213748709486234
LYZ	3.53809865483481	1.513668769801602	12.870462043377616	9.470641437094816e-07	0.00028517894699960696	6.31995640513955
OSTF1	1.4451245305531684	4.612510268493825	12.836152726453356	9.672450241809884e-07	0.00028517894699960696	6.363342652650854
PGS1	1.5059549951855224	4.4798645864606215	12.820669494477833	9.765090839922086e-07	0.00028517894699960696	6.357450624446755
THBS1	2.471018793788577	8.453870222743022	12.735502922557668	1.0292703115417771e-06	0.0002948067696173698	6.287612710680467
RLF	1.8803686056197568	5.5566324099045925	12.67699291098619	1.0673594929491453e-06	0.00029484086611448936	6.241626766893402
CHRDL1	6.389792016685663	-2.447732792824519	12.652712901792984	1.0836250006263196e-06	0.00029484086611448936	4.3793601417520245
DGAT2	3.109544469575858	4.2127763310438375	12.6417732909894	1.0910438066409317e-06	0.00029484086611448936	6.252081603014851
RHOG	1.555117093942675	5.7557510848478985	12.526684499092688	1.1726225965397902e-06	0.00029484086611448936	6.1417799610778285
CAMK1	1.9788307177186661	4.573002173405168	12.515575970871843	1.1808501193927018e-06	0.00029484086611448936	6.15850583665971
KDM6B	1.7662885151971146	7.890229028280326	12.491362399163439	1.1990079739333792e-06	0.00029484086611448936	6.1268948244482555
APPL1	1.9313635017308652	2.7921367319742885	12.485053253568733	1.2037902289056078e-06	0.00029484086611448936	6.185408197057165
